INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
(LIBRARY) FOUR & TWENTY BLACKBIRDS,50007884,10 GRAND ARMY PLZ,"BROOKLYN, NY 11238-5600",BROOKLYN,992830,184409,50007884,Caf&eacute;/Coffee/Tea
108 FOOD DRIED HOT POT,50059935,2794 BROADWAY,"NEW YORK, NY 10025-2827",MANHATTAN,993210,231750,50059935,Chinese
2 BACI PIZZERIA,50035346,345A NOSTRAND AVE,"BROOKLYN, NY 11216-1418",BROOKLYN,997903,189369,50035346,Pizza/Italian
21 BAR,50044708,4318 BROADWAY,"NEW YORK, NY 10033-3728",MANHATTAN,1002284,249677,50044708,American
2ND CITY,50046212,525 HUDSON ST FRNT 1,"NEW YORK, NY 10014-2607",MANHATTAN,982517,206714,50046212,Filipino
3 BLACK CATS CAFE/CAKERY,50051296,3 BELMONT AVE,"BROOKLYN, NY 11212-6443",BROOKLYN,1009157,182825,50051296,Caf&eacute;/Coffee/Tea
321 ICE CREAM SHOP,50038523,288 GRAND ST,"BROOKLYN, NY 11211-4407",BROOKLYN,995992,199062,50038523,"Ice Cream, Gelato, Yogurt, Ices"
575 PUB ON SECOND,50054535,93 2ND AVE,"NEW YORK, NY 10003-8352",MANHATTAN,987356,204166,50054535,American
7 GRAMS CAFFE,50014520,275 7TH AVE FRNT 5,"NEW YORK, NY 10001-6708",MANHATTAN,985792,210971,50014520,Caf&eacute;/Coffee/Tea
750 MYRTLE DINER,50034497,750 MYRTLE AVE FRNT,"BROOKLYN, NY 11205-3926",BROOKLYN,997335,192472,50034497,American
99 ROGERS,50040061,99 ROGERS AVE,"BROOKLYN, NY 11216-6044",BROOKLYN,997325,184911,50040061,American
A CANAAN SUSHI,50046619,154 W 29TH ST,"NEW YORK, NY 10001-5597",MANHATTAN,986579,211536,50046619,Japanese
A LA MODE SHOPPE,50036292,360 E 55TH ST,"NEW YORK, NY 10022-4118 US",MANHATTAN,993981,215228,50036292,"Ice Cream, Gelato, Yogurt, Ices"
A MODO MIO WOOD FRIED PIZZA BAR & GRILL,50057434,128 METROPOLITAN AVE,"BROOKLYN, NY 11249-3921",BROOKLYN,994612,200253,50057434,Italian
A TASTE OF BENATERI'S AT EDGEWATER,50039875,11105 14TH AVE,"COLLEGE POINT, NY 11356-1405",QUEENS,1024175,225542,50039875,Sandwiches
A&E SUPPLY CO.,50056466,548 4TH AVE,"BROOKLYN, NY 11215-1821",BROOKLYN,986561,182221,50056466,American
A+ ROOF BAR,50039571,3916 COLLEGE POINT BLVD,"FLUSHING, NY 11354-5138",QUEENS,1030105,215773,50039571,"Bottled beverages, including water, sodas, juices, etc."
ACRI CAFE,50043524,1315 COMMERCE AVE,"BRONX, NY 10461-3607",BRONX,1028481,243887,50043524,Pizza/Italian
ADVENTURE CAFE,50038410,85 DELANCEY ST,"NEW YORK, NY 10002-3182",MANHATTAN,987116,201222,50038410,Caf&eacute;/Coffee/Tea
AFRICA KINE,50040217,2267 ADAM CLAYTON POWELL JR BLVD,"NEW YORK, NY 10030-3003",MANHATTAN,999627,235940,50040217,African
AIRRANG USA,50053671,4104 163RD ST,"FLUSHING, NY 11358-2606",QUEENS,1038846,216668,50053671,Korean
AJ PIZZERIA,50016615,4412 FORT HAMILTON PKWY,"BROOKLYN, NY 11219-1949",BROOKLYN,985791,172640,50016615,Pizza/Italian
AKAMI SUSHI,50015159,1771 1ST AVE,"NEW YORK, NY 10128-5920",MANHATTAN,998988,223618,50015159,Japanese
ALAYNA BEAUTY AND SMOOTHIE LOUNGE,50063410,1670 SOUTHERN BLVD,"BRONX, NY 10460-5434",BRONX,1015080,243861,50063410,"Juice, Smoothies, Fruit Salads"
ALEX PIZZA & DELI,50057753,7020 35TH AVE,"JACKSON HEIGHTS, NY 11372-3936",QUEENS,1013187,212771,50057753,American
ALICE'S MARKET,50048034,1081 FULTON ST,"BROOKLYN, NY 11238-2692",BROOKLYN,995789,187645,50048034,American
ALIDORO,50015128,18 E 39TH ST BLDG RETAIL,"NEW YORK, NY 10016-0108",MANHATTAN,989475,212920,50015128,Italian
ALPHAVILLE,50012426,140 WILSON AVE STE 1,"BROOKLYN, NY 11237-2731",BROOKLYN,1004881,194541,50012426,American
AMAZURA,50040583,9112 144TH PL,"JAMAICA, NY 11435-4230",QUEENS,1036909,194563,50040583,American
AMBIANCE WINE & HOOKAH LOUNGE,50044344,1949 RICHMOND AVE STE 7,"STATEN ISLAND, NY 10314-3925",STATEN ISLAND,939006,158064,50044344,Italian
AMERICAN NEW YORK BAGEL,50055645,8619 NORTHERN BLVD,"JACKSON HEIGHTS, NY 11372-1538",QUEENS,1017110,214725,50055645,Bagels/Pretzels
AMERICAN WHISKEY,50005067,247 W 30TH ST BLDG 1,"NEW YORK, NY 10001-2824",MANHATTAN,985964,212176,50005067,American
AMERITTANIA,50043211,230 W 54TH ST,"NEW YORK, NY 10019-5502",MANHATTAN,989019,217679,50043211,American
ANATOLIAN GYRO RESTAURANT,50009143,2623 E 16TH ST,"BROOKLYN, NY 11235-3805",BROOKLYN,997216,153353,50009143,Turkish
ANGEL OF HARLEM,50033699,2272 FREDERICK DOUGLASS BLVD,"NEW YORK, NY 10027-6197",MANHATTAN,997365,233717,50033699,Caribbean
ANGELICA'S CAFE,50055382,424 CHURCH AVE,"BROOKLYN, NY 11218-3108",BROOKLYN,990830,173946,50055382,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
ANNABELLE'S,50047502,717 86TH ST,"BROOKLYN, NY 11228-3219",BROOKLYN,978298,164655,50047502,Italian
ANNEX,50010893,753 FULTON ST,"BROOKLYN, NY 11217-1518",BROOKLYN,991295,189346,50010893,American
ANTOJITOS MEXICANO,50038065,511 W 181ST ST FRNT GF,"NEW YORK, NY 10033-5137",MANHATTAN,1003230,248360,50038065,Spanish
APPLE GARDEN,50035047,10855 GUY R BREWER BLVD,"JAMAICA, NY 11433-2815",QUEENS,1042312,192816,50035047,Chinese
ARBY'S,50040458,611B 8TH AVE,"NEW YORK, NY 10018-3004",MANHATTAN,986771,214610,50040458,Sandwiches
